name,url,image_url,price,User-Agent
Indianapolis,https://www.glassesshop.com/eyeglasses/fp2158,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$9.95,Scrapy/1.6.0 (+https://scrapy.org)
Amelia,https://www.glassesshop.com/eyeglasses/fm1553,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$34.95,Scrapy/1.6.0 (+https://scrapy.org)
Taurus,https://www.glassesshop.com/eyeglasses/fp2071,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Joplin,https://www.glassesshop.com/eyeglasses/fz1490,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Althea,https://www.glassesshop.com/eyeglasses/fp2111,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
,,,,Scrapy/1.6.0 (+https://scrapy.org)
Haywood,https://www.glassesshop.com/eyeglasses/fm1354,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Gulfport,https://www.glassesshop.com/eyeglasses/fp2106,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Asheville,https://www.glassesshop.com/eyeglasses/fp1992,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95,Scrapy/1.6.0 (+https://scrapy.org)
Libra,https://www.glassesshop.com/eyeglasses/fp2047,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Toledo,https://www.glassesshop.com/eyeglasses/fm1405,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Dominic,https://www.glassesshop.com/eyeglasses/fp2151,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95,Scrapy/1.6.0 (+https://scrapy.org)
Fresno,https://www.glassesshop.com/eyeglasses/fp2036,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95,Scrapy/1.6.0 (+https://scrapy.org)
Poppy,https://www.glassesshop.com/eyeglasses/fz1032,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Oberlin,https://www.glassesshop.com/eyeglasses/fp2035,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Evanston,https://www.glassesshop.com/eyeglasses/sup0791,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Burke,https://www.glassesshop.com/eyeglasses/fm1244,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Celia,https://www.glassesshop.com/eyeglasses/fm1387,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
,,,,Scrapy/1.6.0 (+https://scrapy.org)
Maltz,https://www.glassesshop.com/eyeglasses/fz1370,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Milne,https://www.glassesshop.com/eyeglasses/fz1357,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Cooksville,https://www.glassesshop.com/eyeglasses/fp2010,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95,Scrapy/1.6.0 (+https://scrapy.org)
,,,,Scrapy/1.6.0 (+https://scrapy.org)
Bronx,https://www.glassesshop.com/eyeglasses/fp1979,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95,Scrapy/1.6.0 (+https://scrapy.org)
Miami,https://www.glassesshop.com/eyeglasses/fz1391,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Riverside,https://www.glassesshop.com/eyeglasses/fm1385,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Annabel,https://www.glassesshop.com/eyeglasses/ft0304,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$39.95,Scrapy/1.6.0 (+https://scrapy.org)
Vogt,https://www.glassesshop.com/eyeglasses/fz1320,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Wilker,https://www.glassesshop.com/eyeglasses/sup0622,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Genevieve,https://www.glassesshop.com/eyeglasses/fz1270,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$34.95,Scrapy/1.6.0 (+https://scrapy.org)
Murphy,https://www.glassesshop.com/eyeglasses/fp1747,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$39.95,Scrapy/1.6.0 (+https://scrapy.org)
Lyndon,https://www.glassesshop.com/eyeglasses/fm1286,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Jean,https://www.glassesshop.com/eyeglasses/fp1719,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Lexingto,https://www.glassesshop.com/eyeglasses/fp1694,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Derrick,https://www.glassesshop.com/eyeglasses/fp1661,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Prince,https://www.glassesshop.com/eyeglasses/fp1438,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Vivian,https://www.glassesshop.com/eyeglasses/fz1250,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Bruno,https://www.glassesshop.com/eyeglasses/fp1506,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Prairie,https://www.glassesshop.com/eyeglasses/fz1461,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$34.95,Scrapy/1.6.0 (+https://scrapy.org)
Uvalde,https://www.glassesshop.com/eyeglasses/sup1073,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$9.95,Scrapy/1.6.0 (+https://scrapy.org)
Willie,https://www.glassesshop.com/eyeglasses/sm0860,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Marlowe,https://www.glassesshop.com/eyeglasses/sup0711,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Enoch,https://www.glassesshop.com/eyeglasses/fz1159,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Bray,https://www.glassesshop.com/eyeglasses/fp1923,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95,Scrapy/1.6.0 (+https://scrapy.org)
Butler,https://www.glassesshop.com/eyeglasses/fp1841,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Lindsay,https://www.glassesshop.com/eyeglasses/fz1382,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Owen,https://www.glassesshop.com/eyeglasses/fp1651,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Tiffen,https://www.glassesshop.com/eyeglasses/fp1443,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Rochester,https://www.glassesshop.com/eyeglasses/fm1263,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Astrid,https://www.glassesshop.com/eyeglasses/fp1500,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Endicott,https://www.glassesshop.com/eyeglasses/fz1392,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Labrador,https://www.glassesshop.com/eyeglasses/fp1988,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95,Scrapy/1.6.0 (+https://scrapy.org)
Iowa,https://www.glassesshop.com/eyeglasses/fz1015,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Whittier,https://www.glassesshop.com/eyeglasses/fz1313,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Walnut,https://www.glassesshop.com/eyeglasses/sup0821,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Huntsville,https://www.glassesshop.com/eyeglasses/sup1077,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Troy,https://www.glassesshop.com/eyeglasses/sup0907,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Pete,https://www.glassesshop.com/eyeglasses/fz1209,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Arlene,https://www.glassesshop.com/eyeglasses/fp1763,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Jackson,https://www.glassesshop.com/eyeglasses/fp2247,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Gabriel,https://www.glassesshop.com/eyeglasses/rm0296,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Baldwin,https://www.glassesshop.com/eyeglasses/fp1618,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Mandy,https://www.glassesshop.com/eyeglasses/fz1087,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Christian,https://www.glassesshop.com/eyeglasses/sup0759,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Edgar,https://www.glassesshop.com/eyeglasses/fm1452,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$35.95,Scrapy/1.6.0 (+https://scrapy.org)
Eleanor,https://www.glassesshop.com/eyeglasses/fp1948,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95,Scrapy/1.6.0 (+https://scrapy.org)
Joni,https://www.glassesshop.com/eyeglasses/fp2024,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
,,,,Scrapy/1.6.0 (+https://scrapy.org)
Evansville,https://www.glassesshop.com/eyeglasses/fp1363,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Reno,https://www.glassesshop.com/eyeglasses/fp1088,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$44.95,Scrapy/1.6.0 (+https://scrapy.org)
Hume,https://www.glassesshop.com/eyeglasses/fz1297,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Nicole,https://www.glassesshop.com/eyeglasses/fz1083,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Isaiah,https://www.glassesshop.com/eyeglasses/fp1644,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Naperville,https://www.glassesshop.com/eyeglasses/fp2190,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95,Scrapy/1.6.0 (+https://scrapy.org)
Martin,https://www.glassesshop.com/eyeglasses/sm0795,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Megan,https://www.glassesshop.com/eyeglasses/sup0830,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Ezekiel,https://www.glassesshop.com/eyeglasses/fz1278,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Benjamin,https://www.glassesshop.com/eyeglasses/fm1466,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Annabelle,https://www.glassesshop.com/eyeglasses/fp2086,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Flushing,https://www.glassesshop.com/eyeglasses/fp1972,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$12.95,Scrapy/1.6.0 (+https://scrapy.org)
,,,,Scrapy/1.6.0 (+https://scrapy.org)
Averies,https://www.glassesshop.com/eyeglasses/fp1829,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Westlake,https://www.glassesshop.com/eyeglasses/fz1437,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$44.95,Scrapy/1.6.0 (+https://scrapy.org)
Hillsborough,https://www.glassesshop.com/eyeglasses/fp0989,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
,,,,Scrapy/1.6.0 (+https://scrapy.org)
Springfield,https://www.glassesshop.com/eyeglasses/fm1409,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Watertown,https://www.glassesshop.com/eyeglasses/fp1805,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Newark,https://www.glassesshop.com/eyeglasses/fm1372,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Trenton,https://www.glassesshop.com/eyeglasses/fp1232,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Plains,https://www.glassesshop.com/eyeglasses/fp2026,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
Bevis,https://www.glassesshop.com/eyeglasses/fm1494,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$49,Scrapy/1.6.0 (+https://scrapy.org)
Belle,https://www.glassesshop.com/eyeglasses/fp1768,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Orleans,https://www.glassesshop.com/eyeglasses/ft0459,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$49.95,Scrapy/1.6.0 (+https://scrapy.org)
Mason,https://www.glassesshop.com/eyeglasses/fp1641,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Valentina,https://www.glassesshop.com/eyeglasses/fp1453,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$6.95,Scrapy/1.6.0 (+https://scrapy.org)
Goodland,https://www.glassesshop.com/eyeglasses/fp2155,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$9.95,Scrapy/1.6.0 (+https://scrapy.org)
Roanoke,https://www.glassesshop.com/eyeglasses/sup1005,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Dubois,https://www.glassesshop.com/eyeglasses/ft0326,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$49.95,Scrapy/1.6.0 (+https://scrapy.org)
Zoe,https://www.glassesshop.com/eyeglasses/fp1456,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Brunswick,https://www.glassesshop.com/eyeglasses/fm1017,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Smith,https://www.glassesshop.com/eyeglasses/fm1419,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Leigh,https://www.glassesshop.com/eyeglasses/fz1368,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Jellico,https://www.glassesshop.com/eyeglasses/fz1494,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$29.95,Scrapy/1.6.0 (+https://scrapy.org)
Salisbury,https://www.glassesshop.com/eyeglasses/fp2105,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$19.95,Scrapy/1.6.0 (+https://scrapy.org)
Hartford,https://www.glassesshop.com/eyeglasses/fp2078,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",$24.95,Scrapy/1.6.0 (+https://scrapy.org)
